identificationCode,assessmentIdentifier,description,namespace
Listening,ACCESS,Listening,uri://wida.wisc.edu/assess/access
Speaking,ACCESS,Speaking,uri://wida.wisc.edu/assess/access
Reading,ACCESS,Reading,uri://wida.wisc.edu/assess/access
Writing,ACCESS,Writing,uri://wida.wisc.edu/assess/access
Comprehension,ACCESS,Comprehension,uri://wida.wisc.edu/assess/access
Literacy,ACCESS,Literacy,uri://wida.wisc.edu/assess/access
Oral,ACCESS,Oral,uri://wida.wisc.edu/assess/access
Listening,Alternate-ACCESS,Listening,uri://wida.wisc.edu/assess/access
Speaking,Alternate-ACCESS,Speaking,uri://wida.wisc.edu/assess/access
Reading,Alternate-ACCESS,Reading,uri://wida.wisc.edu/assess/access
Writing,Alternate-ACCESS,Writing,uri://wida.wisc.edu/assess/access
Comprehension,Alternate-ACCESS,Comprehension,uri://wida.wisc.edu/assess/access
Literacy,Alternate-ACCESS,Literacy,uri://wida.wisc.edu/assess/access
Oral,Alternate-ACCESS,Oral,uri://wida.wisc.edu/assess/access