identificationCode,scoreType,resultDatatypeTypeDescriptor
CBMRSpanish,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
CBMRSpanish,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
CBMRSpanish,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
CBMRSpanish,Median Accuracy,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
CBMRSpanish,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
ConceptsOfPrint,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
ConceptsOfPrint,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
ConceptsOfPrint,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
DecodableWords,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
DecodableWords,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
DecodableWords,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
DecodableWords,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
LetterNames,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
LetterNames,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
LetterNames,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterNames,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
LetterSounds,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
LetterSounds,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
LetterSounds,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
LetterSounds,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OnsetSounds,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OnsetSounds,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
OnsetSounds,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OralRepitition,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OralRepitition,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
OralRepitition,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepitition,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SentenceReading,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SentenceReading,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SentenceReading,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SightWords,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SightWords,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SightWords,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SyllableReading,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SyllableReading,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SyllableReading,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SyllableReading,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordBlending,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordBlending,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordBlending,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
WordBlending,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordBlending,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordBlending,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordRhyming,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordRhyming,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordRhyming,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
WordRhyming,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordRhyming,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordRhyming,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordSegmenting,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordSegmenting,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordSegmenting,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
WordSegmenting,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordSegmenting,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordSegmenting,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile