assessmentFamily,grade,gradeLevelDescriptor
NWEA MAP Fluency,K,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
NWEA MAP Fluency,1,uri://ed-fi.org/GradeLevelDescriptor#First grade
NWEA MAP Fluency,2,uri://ed-fi.org/GradeLevelDescriptor#Second grade
NWEA MAP Fluency,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
NWEA MAP Fluency,4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
NWEA MAP Fluency,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
NWEA MAP Fluency,6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
NWEA MAP Fluency,7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
NWEA MAP Fluency,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
NWEA MAP Fluency,9,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
NWEA MAP Fluency,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
NWEA MAP Fluency,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
NWEA MAP Fluency,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade